OSEBuildingID,DataYear,PrimaryPropertyType,CouncilDistrictCode,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),ENERGYSTARScore,SiteEUI(kBtu/sf),SiteEUIWN(kBtu/sf),SourceEUI(kBtu/sf),SourceEUIWN(kBtu/sf),SiteEnergyUse(kBtu),SiteEnergyUseWN(kBtu),SteamUse(kBtu),Electricity(kWh),Electricity(kBtu),NaturalGas(therms),NaturalGas(kBtu),OtherFuelUse(kBtu),DefaultData,Comment,ComplianceStatus,Outlier,Latitude,Longitude,ZipCode,TotalGHGEmissions,GHGEmissionsIntensity,SiteEUI(kBtu/sf)_diff1516,SiteEUIWN(kBtu/sf)_diff1516,SourceEUI(kBtu/sf)_diff1516,SourceEUIWN(kBtu/sf)_diff1516,SiteEnergyUse(kBtu)_diff1516,SiteEnergyUseWN(kBtu)_diff1516,SteamUse(kBtu)_diff1516,Electricity(kWh)_diff1516,Electricity(kBtu)_diff1516,NaturalGas(therms)_diff1516,NaturalGas(kBtu)_diff1516,TotalGHGEmissions_diff1516,GHGEmissionsIntensity_diff1516
1,2015,hotel,7,1927,1.0,12.0,88434,0,88434,65.0,78.9,80.3,173.5,175.1,6981428.0,7097539.0,2023032.0,1080307.0,3686160.0,12724.0,1272388.0,0.0,No,,Compliant,,47.61219025,-122.33799744,98101.0,249.43,2.64,2.7999969499999935,4.000003050000004,9.0,13.900000000000006,244934.5,475482.0,-19150.0,76207.25,259867.0,40.52930000000015,4065.0,0.549999999999983,0.18999999999999995
2,2015,hotel,7,1996,1.0,11.0,103566,15064,88502,51.0,94.4,99.0,191.3,195.2,8354235.0,8765788.0,0.0,1144563.0,3905411.0,44490.0,4448985.0,0.0,No,,Compliant,,47.61310583,-122.33335756,98101.0,263.51,2.38,0.40000304999999514,-1.0999984700000027,-15.19999390000001,-15.80000609999999,33698.0,310244.0,0.0,-194137.8125,-662560.0,6960.816409999999,696097.0,32.35000000000002,0.48
3,2015,hotel,7,1969,1.0,41.0,961990,0,961990,18.0,96.6,99.7,242.7,246.5,73130656.0,75506272.0,19660404.0,14583930.0,49762435.0,37099.0,3709900.0,0.0,Yes,,Compliant,,47.61334897,-122.33769944,98101.0,2061.48,1.92,-0.5999999999999943,-2.0000030500000037,-0.8000060999999903,-2.3999938999999983,-543632.0,806456.0,1906150.0,-68495.0,-235771.0,-22161.0,-2216100.0,27.800000000000182,0.27
5,2015,hotel,7,1926,1.0,10.0,61320,0,61320,1.0,460.4,462.5,636.3,643.2,28229320.0,28363444.0,23458518.0,811521.0,2769023.0,20019.0,2001894.0,0.0,No,,Compliant,High Outlier,47.61421585,-122.33660889,98101.0,1936.34,31.38,-349.59999689999995,-349.1999969,-420.1000031,-419.20000000000005,-21434736.0,-21282519.5,-21244071.75,4.3125,-99.0,-1906.8691399999989,-190681.0,-1649.9099999999999,-26.71
8,2015,hotel,7,1980,1.0,18.0,119890,12460,107430,67.0,120.1,122.1,228.8,227.1,14829099.0,15078243.0,0.0,1777841.0,6066245.0,87631.0,8763105.0,0.0,No,,Compliant,,47.6137544,-122.3409238,98121.0,507.7,4.02,-5.2999968999999965,-3.400003099999992,-17.400006100000013,-11.499993899999993,-656493.0,-172596.0,0.0,-204392.375,-697638.0,408.9843799999944,40893.0,-2.6899999999999977,-1.1399999999999997
9,2015,other,7,1999,1.0,2.0,97288,37198,60090,,135.7,146.9,313.5,321.6,12051984.0,13045258.0,0.0,2130921.0,7271004.0,47813.0,4781283.0,0.0,No,,Compliant,,47.6164389,-122.33676431,98101.0,304.62,2.81,0.400006100000013,-5.299993900000004,2.7999877999999967,-1.1000000000000227,34632.0,529728.0,0.0,29522.75,100430.0,-661.1835900000005,-66101.0,-2.8100000000000023,0.29000000000000004
10,2015,hotel,7,1926,1.0,11.0,83008,0,83008,25.0,76.9,79.6,149.5,158.2,6252842.0,6477493.0,0.0,785342.0,2679698.0,35733.0,3573255.0,0.0,No,,Compliant,,47.6141141,-122.33274086,98101.0,208.46,2.37,-6.099996950000005,-5.099999999999994,-2.8999938999999983,-3.5000030999999865,-494047.0,-190074.5,0.0,38577.875,131517.0,-6257.199219999999,-625675.0,-32.32000000000002,-0.25
11,2015,other,7,1926,1.0,8.0,102761,0,102761,,62.5,71.8,152.2,160.4,6426022.0,7380086.0,2003108.0,1203937.0,4108004.0,3151.0,315079.0,0.0,No,,Compliant,,47.61290234,-122.33130949,98101.0,199.99,1.77,-1.2000007600000018,-2.9999969499999963,-10.500003099999986,-8.099996900000008,-127890.5,641859.5,273178.5,-138094.25,-471349.0,700.8901369999999,70110.0,21.519999999999982,0.3900000000000001
12,2015,hotel,7,1904,1.0,15.0,163984,0,163984,46.0,77.0,82.9,174.6,186.8,12633744.0,13589025.0,0.0,2155728.0,7355649.0,52784.0,5278400.0,0.0,No,,Compliant,,47.60258934,-122.33255325,98104.0,331.61,1.83,6.699996949999999,3.699998469999997,6.299993900000004,0.3999968999999908,1090076.0,1560310.0,0.0,-16830.25,-57730.0,11475.0,1147500.0,60.55000000000001,0.56
15,2015,hotel,7,1969,1.0,11.0,153163,19279,133884,48.0,101.1,107.2,200.8,205.2,14719853.0,15615929.0,3623542.0,1857347.0,6337531.0,47590.0,4759044.0,0.0,No,,Compliant,,47.60712147,-122.33431932,98101.0,576.63,3.59,18.499998500000004,17.100003099999995,27.39999689999999,27.80000000000001,1296791.0,1927077.0,1613623.5,-43857.125,-149904.0,-1671.5,-167194.0,114.63,0.9199999999999999
