OSEBuildingID,PrimaryPropertyType,CouncilDistrictCode,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuildings,ENERGYSTARScore,SiteEUIkBtusf,SiteEUIWNkBtusf,SourceEUIkBtusf,SourceEUIWNkBtusf,SiteEnergyUsekBtu,SiteEnergyUseWNkBtu,SteamUsekBtu,ElectricitykBtu,NaturalGaskBtu,OtherFuelUsekBtu,Outlier,TotalGHGEmissions,GHGEmissionsIntensity,SiteEUIkBtusf_diff1516,SiteEUIWNkBtusf_diff1516,SourceEUIkBtusf_diff1516,SourceEUIWNkBtusf_diff1516,SiteEnergyUsekBtu_diff1516,SiteEnergyUseWNkBtu_diff1516,SteamUsekBtu_diff1516,ElectricitykBtu_diff1516,NaturalGaskBtu_diff1516,TotalGHGEmissions_diff1516,GHGEmissionsIntensity_diff1516
1,hotel,7.0,1927.0,1.0,12.0,88434.0,0.0,88434.0,65.0,78.9,80.3,173.5,175.1,6981428.0,7097539.0,2023032.0,3686160.0,1272388.0,0.0,nan,249.43,2.64,2.799996949999993,4.000003050000004,9.0,13.900000000000006,244934.5,475482.0,0.0,259867.0,4065.0,0.549999999999983,0.1899999999999999
2,hotel,7.0,1996.0,1.0,11.0,103566.0,15064.0,88502.0,51.0,94.4,99.0,191.3,195.2,8354235.0,8765788.0,0.0,3905411.0,4448985.0,0.0,nan,263.51,2.38,0.4000030499999951,0.0,0.0,0.0,33698.0,310244.0,0.0,0.0,696097.0,32.35000000000002,0.48
3,hotel,7.0,1969.0,1.0,41.0,961990.0,0.0,961990.0,18.0,96.6,99.7,242.7,246.5,73130656.0,75506272.0,19660404.0,49762435.0,3709900.0,0.0,nan,2061.48,1.92,0.0,0.0,0.0,0.0,0.0,806456.0,1906150.0,0.0,0.0,27.800000000000185,0.27
8,hotel,7.0,1980.0,1.0,18.0,119890.0,12460.0,107430.0,67.0,120.1,122.1,228.8,227.1,14829099.0,15078243.0,0.0,6066245.0,8763105.0,0.0,nan,507.7,4.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40893.0,0.0,0.0
9,other,7.0,1999.0,1.0,2.0,97288.0,37198.0,60090.0,,135.7,146.9,313.5,321.6,12051984.0,13045258.0,0.0,7271004.0,4781283.0,0.0,nan,304.62,2.81,0.400006100000013,0.0,2.7999877999999967,0.0,34632.0,529728.0,0.0,100430.0,0.0,0.0,0.29
10,hotel,7.0,1926.0,1.0,11.0,83008.0,0.0,83008.0,25.0,76.9,79.6,149.5,158.2,6252842.0,6477493.0,0.0,2679698.0,3573255.0,0.0,nan,208.46,2.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131517.0,0.0,0.0,0.0
11,other,7.0,1926.0,1.0,8.0,102761.0,0.0,102761.0,,62.5,71.8,152.2,160.4,6426022.0,7380086.0,2003108.0,4108004.0,315079.0,0.0,nan,199.99,1.77,0.0,0.0,0.0,0.0,0.0,641859.5,273178.5,0.0,70110.0,21.519999999999985,0.3900000000000001
12,hotel,7.0,1904.0,1.0,15.0,163984.0,0.0,163984.0,46.0,77.0,82.9,174.6,186.8,12633744.0,13589025.0,0.0,7355649.0,5278400.0,0.0,nan,331.61,1.83,6.699996949999999,3.699998469999997,6.299993900000004,0.3999968999999908,1090076.0,1560310.0,0.0,0.0,1147500.0,60.55000000000001,0.56
15,hotel,7.0,1969.0,1.0,11.0,153163.0,19279.0,133884.0,48.0,101.1,107.2,200.8,205.2,14719853.0,15615929.0,3623542.0,6337531.0,4759044.0,0.0,nan,576.63,3.59,18.499998500000004,17.100003099999995,27.39999689999999,27.80000000000001,1296791.0,1927077.0,1613623.5,0.0,0.0,114.63,0.92
16,hotel,7.0,1998.0,1.0,25.0,333176.0,61161.0,272015.0,32.0,82.3,83.1,207.2,208.0,27717026.0,27970822.0,5426396.0,19058722.0,3232700.0,0.0,nan,723.4,1.93,0.0,0.0,0.0,0.0,0.0,0.0,572964.5,0.0,0.0,17.57000000000005,0.2900000000000002
